ID,gender,education,age,ACT,SATV,SATQ
35623,2,3,22,30,450,350
29871,2,4,37,21,375,385
38085,1,3,20,20,400,400
37804,2,2,24,20,400,400
37001,1,0,18,20,400,400
35995,1,2,20,20,400,400
36402,1,2,20,25,400,400
39012,1,3,23,22,460,400
34755,2,5,37,24,500,400
35476,1,4,25,24,600,400
38210,2,3,20,30,600,400
33572,2,3,25,32,600,400
31367,2,5,57,23,650,400
32241,1,4,33,23,700,400
37633,2,1,18,25,410,410
39723,2,4,29,32,650,410
37614,2,4,31,19,419,420
36001,2,3,19,21,500,420
35449,1,3,19,20,510,420
34512,2,4,44,25,640,420
34183,2,4,45,30,750,420
33424,2,3,23,26,430,430
32916,1,3,30,23,540,430
36940,2,1,17,28,560,430
38894,2,5,30,26,570,430
38825,1,4,35,29,610,430
30175,2,4,34,23,440,440
36600,2,0,18,21,550,440
37656,2,3,20,23,550,440
32803,2,3,20,19,400,450
35121,2,3,23,27,400,450
32677,2,3,23,26,420,450
30348,2,5,32,18,429,450
37067,1,0,16,20,450,450
36556,1,2,25,20,450,450
33965,2,3,21,26,450,450
30466,1,2,19,26,450,450
29901,2,5,27,28,450,450
37130,1,3,19,30,450,450
34225,2,5,25,23,480,450
34319,1,4,30,21,500,450
35173,2,3,20,22,560,450
35350,1,3,20,22,600,450
35339,2,5,38,26,600,450
35605,2,4,48,28,600,450
29728,2,2,55,28,620,450
37071,1,0,15,32,650,450
35674,2,4,22,26,700,450
34323,2,2,24,28,720,450
32811,1,4,36,22,450,460
33345,2,3,20,24,600,460
31844,2,5,27,31,725,465
36647,2,3,20,20,470,470
29498,2,3,20,21,480,470
33568,2,3,19,20,475,475
35524,1,5,31,27,475,475
35875,2,2,19,21,400,480
34208,1,3,19,20,480,480
36945,1,0,18,25,480,480
34456,2,3,18,21,490,480
32692,2,0,17,21,580,480
33702,2,3,22,21,600,480
36403,2,5,27,27,600,480
32988,2,3,21,24,620,480
36120,2,5,34,32,640,480
31019,1,5,39,32,720,480
39776,1,3,23,30,490,490
35563,2,5,37,20,500,490
33091,2,3,22,22,550,490
36041,1,2,19,26,690,490
39238,1,5,43,32,400,500
35283,2,3,22,26,450,500
31084,2,3,19,28,450,500
31299,1,1,45,35,450,500
31083,2,4,23,23,480,500
33406,2,1,18,19,500,500
31786,2,1,18,19,500,500
37120,2,0,17,21,500,500
36675,2,3,19,21,500,500
32695,2,4,26,24,500,500
29442,2,3,19,24,500,500
34190,2,3,19,25,500,500
30621,1,4,36,26,500,500
34583,2,3,25,27,500,500
31307,2,4,28,28,500,500
29914,1,0,18,28,500,500
39227,2,5,37,29,500,500
39915,1,3,25,30,500,500
35314,1,5,24,30,500,500
33444,2,4,40,30,500,500
32071,2,4,37,30,500,500
32097,2,5,38,34,500,500
31080,2,4,33,36,500,500
39444,2,5,24,21,540,500
31292,2,3,20,26,550,500
38783,2,5,36,27,570,500
38463,2,3,38,26,580,500
34757,2,3,21,27,580,500
36377,2,3,19,21,600,500
30660,1,5,30,25,600,500
38325,2,3,46,30,600,500
29762,2,4,25,30,600,500
35692,2,5,29,32,600,500
29906,2,5,29,33,600,500
29457,2,3,23,35,600,500
39806,2,4,29,27,610,500
29527,2,5,30,36,610,500
36126,1,3,25,27,620,500
37667,2,3,23,21,650,500
37602,2,3,23,21,650,500
33521,2,3,20,23,650,500
33073,2,5,35,24,650,500
34842,2,3,19,25,650,500
35504,2,5,29,29,650,500
31858,2,4,27,28,675,500
37168,2,5,38,28,700,500
36996,2,0,18,28,700,500
33539,2,3,31,36,700,500
39559,2,5,28,23,750,500
35098,2,4,26,28,800,500
34233,1,5,36,25,500,510
36094,2,3,20,21,510,510
38265,2,3,18,26,670,510
39555,1,1,21,22,480,520
34989,2,3,21,22,530,520
35640,2,2,28,23,540,520
29503,1,4,27,26,550,520
34734,2,0,17,26,590,520
33926,1,3,20,25,660,520
33352,2,3,28,27,445,525
36703,1,0,17,28,420,530
30444,1,0,17,22,490,530
30732,2,5,47,24,520,530
37462,2,3,20,26,530,530
31657,2,5,26,24,540,530
39099,2,3,19,25,550,530
37728,2,5,23,27,580,530
35289,2,3,20,27,590,530
32314,1,5,42,28,600,530
30510,2,5,27,28,680,530
39240,2,5,42,27,760,530
32817,2,3,18,18,380,540
35375,2,4,31,27,400,540
33997,1,4,34,25,430,540
29821,1,4,35,31,460,540
34101,2,4,24,23,500,540
34731,1,0,16,24,540,540
34992,2,3,20,27,540,540
33426,2,3,20,24,620,540
32070,2,5,40,25,620,540
30044,2,3,18,27,630,540
34071,2,2,34,26,680,540
34414,2,1,18,27,680,540
39510,2,5,36,31,710,540
30145,2,3,17,26,770,540
36107,1,3,20,21,450,550
35778,2,2,18,23,450,550
39712,2,5,30,28,450,550
37650,2,3,19,21,500,550
36861,2,0,18,24,510,550
30981,2,3,20,23,520,550
33949,2,1,18,25,540,550
30403,1,0,18,21,550,550
35703,1,3,25,22,550,550
30462,2,3,21,24,550,550
38915,2,3,21,27,550,550
33314,2,0,17,28,550,550
35957,2,3,19,30,550,550
35340,1,3,20,25,570,550
30610,2,5,40,21,600,550
31092,1,3,23,23,600,550
29504,1,2,33,31,600,550
30740,2,3,19,32,600,550
32779,2,5,30,31,650,550
35582,2,5,25,30,670,550
31655,2,5,43,32,780,550
32697,2,2,26,36,550,555
32777,1,1,18,19,440,560
36880,2,0,18,21,490,560
29529,1,3,19,22,520,560
31204,2,3,19,29,570,560
31062,2,4,25,23,580,560
35842,1,3,19,29,730,560
32393,2,3,22,34,740,560
30543,2,4,24,27,565,565
35212,2,3,19,25,530,570
31314,2,4,25,25,560,570
33257,2,3,19,23,570,570
33130,2,3,22,27,570,570
33408,2,5,30,25,590,570
34782,2,3,19,27,600,570
29984,1,4,23,31,620,570
30030,2,5,52,24,630,570
32406,2,5,58,27,550,575
32238,1,3,21,24,460,580
32897,2,4,32,23,490,580
35077,2,2,25,26,500,580
32952,2,3,19,25,520,580
35231,1,3,20,25,560,580
30677,2,5,29,26,580,580
39447,2,5,25,28,620,580
29710,1,4,35,28,640,580
29990,1,4,54,33,660,580
36470,1,3,19,22,540,590
30574,2,3,17,32,540,590
38348,2,4,22,24,560,590
30682,2,5,38,28,600,590
36597,2,2,28,25,610,590
30228,2,4,23,28,610,590
36898,2,1,18,26,620,590
37520,2,3,19,27,620,590
36352,1,3,19,29,620,590
29671,2,4,24,27,640,590
30566,2,3,30,28,680,590
29543,2,4,23,22,400,600
39751,1,5,54,33,400,600
36649,2,3,20,23,500,600
31891,1,5,22,26,500,600
33518,2,5,31,28,500,600
30018,1,2,41,28,500,600
39630,1,0,18,30,500,600
36533,2,3,19,34,500,600
36028,2,3,19,35,500,600
34251,1,5,37,26,530,600
37771,2,4,25,29,530,600
36314,2,3,18,22,540,600
32914,2,5,24,22,550,600
35260,2,3,18,23,550,600
36932,2,1,18,28,550,600
34187,1,4,57,28,550,600
36870,2,0,18,23,570,600
32772,1,5,37,28,580,600
29617,1,4,32,21,600,600
39985,1,5,25,25,600,600
38644,2,4,36,25,600,600
36524,2,3,44,25,600,600
36515,2,3,44,25,600,600
33256,2,5,22,25,600,600
36335,2,3,20,26,600,600
38146,1,3,18,27,600,600
32361,2,3,20,27,600,600
38899,2,3,22,28,600,600
38684,1,0,17,28,600,600
38665,1,3,22,28,600,600
36851,2,5,23,28,600,600
34429,2,4,24,28,600,600
34356,2,5,40,29,600,600
30455,2,4,29,29,600,600
30007,2,3,20,29,600,600
39787,2,3,28,30,600,600
38445,2,3,46,30,600,600
34895,1,0,14,30,600,600
33672,2,2,19,30,600,600
33012,1,2,21,30,600,600
31738,2,0,17,30,600,600
31421,2,4,36,30,600,600
29788,1,4,50,30,600,600
39722,2,4,23,31,600,600
37843,2,1,31,32,600,600
35608,2,4,49,32,600,600
32204,2,5,40,32,600,600
37234,1,4,26,34,600,600
37169,2,4,34,34,600,600
37227,1,5,28,35,600,600
33415,2,2,43,35,600,600
32220,1,4,38,35,600,600
32572,2,4,26,28,620,600
35156,2,3,19,31,630,600
39496,2,3,23,25,640,600
30836,2,4,29,27,640,600
39516,1,3,34,31,640,600
32536,2,3,19,29,650,600
31178,1,5,34,29,650,600
39820,2,4,28,32,650,600
31398,2,4,34,30,660,600
30215,2,4,24,28,680,600
30862,1,5,31,29,700,600
35784,2,3,19,35,700,600
38511,2,1,18,28,710,600
29592,2,4,34,29,710,600
37663,2,3,20,32,720,600
37569,2,4,22,29,750,600
37322,2,3,20,31,770,600
30168,1,4,30,27,800,600
34995,2,3,20,23,657,609
30054,1,4,27,28,530,610
37122,2,5,25,24,560,610
39840,1,5,34,25,600,610
37822,1,4,37,28,600,610
30958,1,4,23,29,600,610
34106,2,5,36,34,600,610
32429,1,3,24,29,650,610
30446,2,4,23,29,650,610
30129,2,5,30,36,660,610
38860,2,3,19,31,710,610
31587,2,3,22,32,720,610
30065,2,4,23,29,800,610
35726,2,3,17,29,550,620
37325,2,3,20,27,580,620
32845,1,0,18,28,590,620
39651,2,4,28,36,590,620
32691,2,0,17,25,640,620
35813,2,3,19,31,650,620
36576,1,5,22,32,650,620
38114,2,3,19,28,690,620
29685,2,4,24,32,700,620
39218,2,3,20,31,740,620
34552,1,5,26,32,740,620
32895,2,3,20,28,760,620
37291,2,3,19,31,760,620
31435,2,4,24,33,760,620
35569,2,3,18,22,520,630
31038,1,4,33,28,530,630
32720,1,1,18,23,560,630
31795,2,4,23,23,570,630
39937,1,4,40,27,613,630
36497,2,4,21,30,630,630
29633,2,3,20,27,640,630
32388,2,5,33,32,640,630
39951,2,3,24,31,700,630
35574,2,3,32,33,650,635
32138,1,3,20,25,540,640
33099,1,3,21,22,580,640
34211,2,2,26,26,600,640
38352,1,4,29,34,630,640
34108,1,4,27,27,640,640
29518,1,5,26,28,640,640
36186,2,5,34,34,640,640
37396,2,3,20,30,650,640
34876,2,3,18,29,670,640
34027,2,4,24,32,680,640
36658,2,5,24,29,690,640
38166,1,3,19,30,700,640
35451,2,5,50,35,700,640
36709,1,1,18,35,750,640
38316,2,3,19,31,760,640
38245,2,3,18,32,770,640
38223,2,3,18,32,770,640
35072,2,3,20,31,780,640
30324,2,3,20,28,800,640
35984,2,3,19,32,500,650
31118,2,3,19,28,540,650
38518,2,1,21,32,580,650
30913,2,5,50,26,600,650
35515,2,0,17,28,600,650
37638,1,1,18,30,600,650
36253,1,3,19,36,600,650
30392,2,3,33,36,600,650
32887,2,1,21,24,625,650
33306,1,3,18,25,625,650
32409,1,3,20,31,630,650
29676,2,3,19,33,640,650
32229,2,0,17,26,650,650
35965,2,3,19,28,650,650
32563,2,5,24,28,650,650
38407,2,5,23,29,650,650
36358,2,5,36,29,650,650
32621,1,4,25,29,650,650
35949,2,3,22,30,650,650
34491,2,3,20,30,650,650
34382,2,4,41,30,650,650
30302,2,4,24,36,650,650
38670,1,3,26,32,660,650
30149,1,4,27,33,660,650
37489,2,5,41,35,660,650
29846,1,3,21,30,680,650
30980,2,5,65,23,700,650
34897,1,4,52,25,700,650
34624,2,1,18,27,700,650
34242,2,3,19,27,700,650
34182,2,3,21,30,710,650
33061,2,4,22,30,720,650
31894,2,3,18,31,720,650
36381,1,4,24,31,750,650
33688,1,1,18,33,780,650
33400,1,1,18,33,780,650
35377,2,3,21,32,790,650
36495,2,1,18,26,689,654
34699,1,5,44,30,550,660
35977,2,3,21,25,580,660
31081,2,3,21,34,600,660
37401,2,5,43,23,620,660
32651,2,4,30,28,620,660
30940,2,4,23,36,620,660
39890,2,3,25,27,640,660
35160,2,3,19,32,640,660
38196,2,3,19,31,660,660
33231,1,0,17,28,670,660
37300,1,3,19,27,680,660
38451,2,3,20,31,730,660
32906,2,0,17,30,770,660
32609,2,5,35,31,790,660
30911,2,4,24,32,790,660
32983,1,4,28,25,520,670
37237,1,2,19,27,550,670
36124,2,3,18,31,610,670
36176,1,2,25,24,620,670
32067,2,3,19,29,640,670
32686,2,0,18,31,640,670
38457,2,4,22,31,660,670
38176,1,3,18,27,670,670
38404,2,3,20,34,700,670
38112,2,3,19,32,720,670
35837,1,1,18,27,740,670
35661,2,5,33,34,760,670
39097,1,5,24,31,770,670
39287,2,3,19,36,800,670
32368,1,5,57,28,650,675
33374,2,3,22,30,650,675
37357,1,0,16,36,765,677
32600,2,4,37,30,679,678
32293,2,1,17,27,750,678
36541,1,3,22,24,410,680
34818,2,1,37,26,412,680
31553,2,4,30,35,420,680
36382,2,3,19,36,530,680
30941,1,5,23,27,540,680
30412,2,4,31,31,560,680
31989,1,5,43,33,590,680
33139,1,4,28,27,600,680
29711,2,4,46,32,610,680
35094,2,3,21,29,620,680
37327,1,3,20,27,630,680
39813,2,3,19,33,640,680
33981,2,4,25,29,660,680
35147,2,5,24,31,670,680
38976,1,5,58,34,675,680
37526,1,5,24,31,680,680
32121,1,2,26,29,700,680
38140,1,3,20,32,700,680
38227,2,3,18,33,700,680
32215,1,4,23,33,700,680
39904,2,3,20,26,710,680
32840,1,3,21,36,710,680
38079,2,3,19,31,730,680
38232,2,3,19,35,800,680
38826,2,0,15,26,500,684
31589,2,3,20,26,400,690
39514,2,3,21,29,560,690
38663,2,4,26,29,580,690
33341,2,3,21,28,640,690
38251,1,3,18,33,670,690
35367,2,4,22,24,690,690
34812,2,3,22,32,700,690
30052,1,5,35,31,710,690
39406,1,4,23,34,710,690
34005,2,4,22,27,720,690
38289,2,3,18,34,720,690
38696,2,4,28,35,720,690
35033,2,5,28,31,730,690
38470,2,3,19,32,730,690
38122,2,3,18,29,740,690
35461,2,4,22,32,750,690
39835,1,5,26,33,750,690
30787,1,3,19,36,780,690
30176,2,5,27,33,800,690
31982,2,5,57,32,603,695
34881,2,5,44,36,480,700
36656,1,1,18,23,500,700
36463,1,3,19,32,500,700
33547,1,2,55,25,550,700
31074,2,5,26,26,550,700
30274,1,4,28,26,550,700
38791,2,4,30,32,560,700
31068,2,4,22,36,580,700
30943,2,5,22,26,600,700
34280,2,0,16,28,600,700
35862,2,3,20,35,600,700
33388,1,3,30,35,600,700
38599,2,4,34,36,600,700
31454,2,5,61,31,620,700
38139,1,3,19,31,640,700
34036,2,5,35,32,640,700
36306,2,2,19,28,650,700
39451,2,3,19,29,650,700
39632,2,4,46,30,650,700
30534,2,5,35,32,650,700
30705,2,5,32,33,650,700
39307,2,1,18,36,650,700
31211,2,3,19,32,660,700
34648,1,2,19,31,680,700
30794,2,4,21,32,680,700
33567,2,3,19,29,690,700
39053,1,3,22,22,700,700
39848,2,2,25,26,700,700
35978,2,3,18,28,700,700
35967,2,3,18,28,700,700
34279,2,0,16,28,700,700
32813,1,4,50,30,700,700
31937,2,1,17,30,700,700
31771,2,0,16,30,700,700
30082,2,5,39,30,700,700
29855,2,2,34,30,700,700
30753,1,4,23,31,700,700
38244,1,3,19,32,700,700
38076,1,0,18,32,700,700
34404,2,3,19,32,700,700
33447,1,4,26,32,700,700
30358,1,5,48,34,700,700
32423,2,4,25,36,700,700
37317,2,5,56,34,730,700
31758,2,5,58,26,740,700
39691,2,3,19,33,740,700
29780,1,0,18,31,750,700
33386,2,3,19,34,750,700
37077,1,5,42,35,750,700
37560,1,3,22,33,800,700
29916,1,3,23,24,500,710
29953,1,3,22,27,520,710
38137,2,5,22,32,650,710
30985,1,4,26,29,690,710
38226,2,3,20,31,700,710
35491,1,2,33,32,700,710
32719,1,1,18,32,700,710
36205,1,2,20,32,710,710
37483,2,4,22,34,710,710
37469,2,0,17,35,710,710
35848,1,1,18,33,720,710
38685,1,3,19,33,730,710
35979,1,5,55,33,730,710
35306,2,3,20,34,730,710
32762,1,1,17,34,730,710
29578,1,3,23,32,760,710
39729,1,3,19,34,760,710
32603,1,5,44,30,390,720
31917,1,5,33,31,540,720
31519,1,3,21,28,580,720
35962,2,4,29,32,600,720
31033,1,3,21,30,620,720
38105,2,3,19,31,650,720
31673,1,5,36,32,650,720
38259,2,4,22,36,650,720
30762,1,4,23,32,660,720
39037,1,3,22,22,670,720
37974,1,2,18,32,680,720
38107,2,3,18,30,690,720
39581,1,5,23,33,700,720
36310,1,3,19,35,730,720
33865,1,2,25,32,740,720
33198,2,1,19,35,750,720
38132,2,3,19,34,760,720
30843,2,5,24,35,790,720
36636,1,0,17,35,797,720
38115,1,3,18,34,800,720
33990,1,3,20,31,750,725
29619,2,4,41,35,780,725
30889,1,4,53,33,633,729
31190,2,5,30,29,600,730
35550,2,1,17,27,610,730
36924,2,4,25,32,630,730
38116,2,3,19,31,670,730
35315,2,3,21,32,690,730
37808,1,5,27,32,720,730
34521,2,3,20,32,720,730
34025,2,3,20,36,760,730
30477,1,3,19,29,520,740
30136,1,5,53,36,560,740
35800,1,5,30,32,660,740
38097,2,3,18,33,680,740
39282,2,3,18,34,690,740
35356,1,3,22,28,700,740
31026,2,5,26,32,700,740
38164,1,3,19,33,710,740
38187,2,3,21,33,740,740
38820,1,1,18,35,740,740
34227,2,3,20,33,750,740
30255,2,4,23,34,800,740
34745,1,4,34,19,590,742
31781,1,0,17,34,760,745
30378,1,5,43,32,550,750
39109,2,5,24,32,600,750
33607,2,3,30,24,640,750
37081,1,2,31,30,640,750
39093,2,5,25,32,650,750
30525,1,4,40,32,650,750
38868,2,5,35,34,650,750
35088,2,2,57,35,650,750
34407,1,3,21,32,670,750
30930,1,4,23,36,680,750
38529,1,5,34,32,700,750
39416,1,3,20,34,700,750
34284,1,0,16,35,700,750
31977,1,5,40,36,700,750
36455,2,2,27,32,750,750
36148,2,3,33,35,760,750
36878,2,5,27,32,790,750
34376,2,5,27,32,790,750
36249,2,3,18,31,800,750
32276,2,4,22,35,800,750
35938,2,5,28,29,410,760
35345,2,5,28,29,410,760
30229,2,5,27,33,600,760
30402,1,4,35,34,600,760
38970,1,3,19,31,670,760
33481,1,3,26,30,690,760
30669,1,5,25,31,700,760
38100,2,1,18,34,700,760
31912,2,5,27,34,700,760
39772,2,3,20,36,760,760
30821,1,4,23,30,780,760
30350,2,3,19,34,800,760
37100,1,1,18,25,500,765
35091,1,3,29,33,590,770
36018,2,3,19,28,600,770
31596,2,3,22,34,690,770
31594,2,3,22,34,690,770
33492,1,0,17,29,700,770
38108,1,3,19,34,700,770
38898,1,3,17,35,730,770
38315,2,3,19,36,730,770
35366,1,3,17,35,740,770
34212,2,3,18,33,800,770
32721,2,0,18,36,800,770
33902,1,3,20,31,560,780
37476,2,5,27,33,660,780
30197,1,4,35,35,670,780
39961,1,4,35,32,700,780
35038,1,0,17,33,700,780
38895,2,3,20,35,720,780
36159,1,5,43,32,730,780
38015,1,5,42,35,760,780
35599,1,3,20,34,770,780
39670,1,4,25,32,690,790
34548,2,0,17,35,720,790
31376,2,5,62,36,750,790
38595,2,0,13,32,785,795
36735,2,1,18,34,799,799
31869,1,4,28,32,580,800
34770,1,5,39,35,600,800
31167,1,5,37,32,640,800
39056,2,4,26,35,650,800
39026,2,4,26,35,650,800
33982,1,4,26,33,660,800
36843,1,3,18,34,700,800
35001,1,3,18,34,700,800
39060,1,3,19,34,720,800
29547,2,5,40,35,730,800
39412,1,3,19,33,740,800
38093,2,3,18,32,750,800
38182,2,2,19,31,770,800
32714,1,0,18,34,770,800
38198,1,3,19,33,780,800
35910,2,0,16,24,800,800
31730,1,0,16,24,800,800
31741,1,0,16,26,800,800
32104,1,2,26,32,800,800
31722,1,0,17,35,800,800
36740,1,0,17,36,800,800
