Age Group,Average Daily Screen Time (hours)
10 to 18,6.9
26 to 35,7.4
26 to 35,4.5
26 to 35,3.6
46 to 60,7.1
60+,6.3
46 to 60,4.4
19 to 25,3.4
46 to 60,8.3
46 to 60,3.6
10 to 18,3.3
10 to 18,6.6
26 to 35,6.3
26 to 35,3.9
36 to 45,4.0
10 to 18,3.7
19 to 25,4.0
46 to 60,6.4
10 to 18,3.1
46 to 60,2.9
60+,6.8
19 to 25,6.7
19 to 25,4.7
19 to 25,2.5
26 to 35,5.2
46 to 60,4.5
26 to 35,4.7
36 to 45,3.8
36 to 45,5.8
19 to 25,9.1
19 to 25,5.4
60+,3.5
36 to 45,7.5
26 to 35,5.8
36 to 45,7.7
26 to 35,7.0
60+,5.9
60+,3.5
60+,4.9
46 to 60,5.0
60+,1.4
36 to 45,7.9
60+,3.6
10 to 18,4.5
46 to 60,4.5
60+,3.6
60+,7.6
10 to 18,2.3
60+,3.0
19 to 25,6.0
36 to 45,7.1
10 to 18,3.1
10 to 18,3.3
10 to 18,5.2
60+,4.8
26 to 35,4.8
60+,3.1
36 to 45,4.6
19 to 25,3.2
60+,5.9
36 to 45,3.0
36 to 45,3.3
60+,6.8
26 to 35,5.7
19 to 25,5.9
10 to 18,2.8
19 to 25,3.7
26 to 35,4.3
46 to 60,9.1
19 to 25,7.9
60+,4.5
60+,5.1
46 to 60,6.9
60+,7.7
10 to 18,5.3
10 to 18,5.2
26 to 35,4.5
36 to 45,1.0
10 to 18,5.4
60+,7.0
10 to 18,6.0
46 to 60,5.7
60+,4.0
46 to 60,3.4
46 to 60,1.8
60+,5.3
19 to 25,6.0
10 to 18,6.5
19 to 25,4.5
46 to 60,6.6
10 to 18,3.2
46 to 60,6.8
10 to 18,7.0
19 to 25,6.3
19 to 25,4.1
19 to 25,4.7
19 to 25,4.5
10 to 18,5.5
60+,5.5
60+,3.3
60+,3.7
26 to 35,3.0
26 to 35,8.5
19 to 25,6.6
36 to 45,3.5
10 to 18,6.4
36 to 45,5.6
19 to 25,5.2
60+,2.7
60+,5.3
19 to 25,7.9
19 to 25,4.5
10 to 18,3.0
60+,2.9
36 to 45,7.8
26 to 35,6.3
10 to 18,5.6
10 to 18,5.6
19 to 25,6.9
26 to 35,2.9
19 to 25,7.9
36 to 45,4.9
36 to 45,7.1
36 to 45,7.1
10 to 18,3.9
26 to 35,5.2
19 to 25,4.9
26 to 35,4.1
60+,6.3
46 to 60,4.7
60+,1.0
19 to 25,9.2
36 to 45,5.8
19 to 25,5.8
10 to 18,1.1
46 to 60,3.7
36 to 45,7.3
46 to 60,2.1
19 to 25,3.9
60+,3.4
26 to 35,6.8
10 to 18,5.1
60+,5.6
60+,2.5
19 to 25,3.7
10 to 18,3.2
36 to 45,1.6
36 to 45,5.9
26 to 35,4.8
36 to 45,8.0
60+,3.9
26 to 35,7.5
46 to 60,6.9
36 to 45,7.3
60+,8.7
26 to 35,4.3
46 to 60,2.1
36 to 45,8.7
19 to 25,2.9
46 to 60,2.4
19 to 25,5.4
26 to 35,2.4
26 to 35,3.0
19 to 25,9.2
60+,3.4
19 to 25,6.3
60+,3.7
19 to 25,4.4
19 to 25,5.9
36 to 45,5.2
10 to 18,4.8
19 to 25,4.9
46 to 60,10.3
46 to 60,4.0
60+,4.5
36 to 45,5.4
36 to 45,3.7
46 to 60,4.7
26 to 35,4.2
36 to 45,4.1
46 to 60,2.5
19 to 25,5.8
46 to 60,3.4
10 to 18,4.5
36 to 45,3.6
19 to 25,2.7
60+,5.6
36 to 45,3.1
60+,9.2
46 to 60,6.3
19 to 25,5.3
36 to 45,6.0
10 to 18,3.3
60+,4.8
36 to 45,5.8
19 to 25,4.2
60+,1.0
46 to 60,6.2
36 to 45,6.0
26 to 35,7.7
60+,3.6
60+,4.7
60+,6.7
10 to 18,1.0
60+,3.5
60+,6.9
10 to 18,4.5
46 to 60,6.7
46 to 60,8.6
46 to 60,5.6
46 to 60,3.4
26 to 35,5.4
46 to 60,7.6
36 to 45,5.8
36 to 45,3.2
10 to 18,6.5
10 to 18,6.5
10 to 18,5.3
19 to 25,7.8
60+,5.3
36 to 45,5.1
36 to 45,8.8
10 to 18,7.6
60+,3.0
26 to 35,5.4
60+,5.4
46 to 60,1.4
36 to 45,5.5
10 to 18,5.3
36 to 45,6.1
46 to 60,3.3
19 to 25,6.1
36 to 45,6.0
10 to 18,4.5
46 to 60,9.1
10 to 18,4.0
46 to 60,6.3
36 to 45,3.7
10 to 18,6.3
36 to 45,5.4
26 to 35,5.9
19 to 25,9.8
46 to 60,4.6
46 to 60,5.7
46 to 60,3.9
26 to 35,4.6
46 to 60,8.3
19 to 25,5.7
46 to 60,2.8
60+,1.0
60+,4.7
10 to 18,5.7
60+,6.8
46 to 60,3.1
60+,4.9
60+,7.6
10 to 18,7.2
60+,6.0
46 to 60,6.2
19 to 25,4.7
26 to 35,7.6
26 to 35,7.4
60+,5.8
19 to 25,3.2
46 to 60,4.1
10 to 18,4.1
60+,6.1
26 to 35,4.7
10 to 18,4.9
36 to 45,6.4
60+,6.2
60+,2.3
19 to 25,4.7
36 to 45,4.8
26 to 35,4.2
60+,4.7
36 to 45,3.6
36 to 45,5.7
60+,5.5
26 to 35,6.9
19 to 25,3.5
26 to 35,1.0
60+,6.2
10 to 18,5.0
60+,9.8
60+,5.0
19 to 25,6.9
19 to 25,4.4
10 to 18,7.7
36 to 45,3.6
19 to 25,7.2
26 to 35,4.2
26 to 35,3.2
26 to 35,7.6
36 to 45,6.4
46 to 60,4.9
10 to 18,7.7
46 to 60,3.9
36 to 45,5.6
46 to 60,5.0
46 to 60,5.8
36 to 45,5.4
19 to 25,7.2
10 to 18,6.9
10 to 18,3.3
36 to 45,7.5
36 to 45,2.5
26 to 35,5.8
60+,6.8
36 to 45,2.6
36 to 45,3.6
36 to 45,6.0
10 to 18,6.1
26 to 35,3.9
10 to 18,5.7
19 to 25,5.6
46 to 60,5.1
26 to 35,1.5
10 to 18,6.1
10 to 18,4.6
46 to 60,1.0
10 to 18,7.2
26 to 35,2.6
46 to 60,4.7
36 to 45,4.5
36 to 45,5.1
36 to 45,5.3
19 to 25,4.9
46 to 60,2.7
36 to 45,3.7
60+,4.6
19 to 25,1.6
19 to 25,3.3
46 to 60,4.4
26 to 35,6.4
10 to 18,3.6
36 to 45,3.2
19 to 25,2.4
10 to 18,7.1
19 to 25,3.0
60+,5.4
60+,7.3
19 to 25,6.5
10 to 18,6.5
26 to 35,7.2
19 to 25,6.5
60+,6.6
46 to 60,7.1
60+,5.4
10 to 18,6.3
10 to 18,4.2
26 to 35,4.0
60+,4.4
26 to 35,4.2
10 to 18,6.1
60+,3.9
19 to 25,6.4
60+,7.1
36 to 45,2.5
26 to 35,3.4
19 to 25,4.0
46 to 60,4.7
10 to 18,3.4
26 to 35,4.5
46 to 60,9.4
46 to 60,5.1
19 to 25,4.6
26 to 35,6.2
60+,4.7
19 to 25,2.5
60+,2.6
19 to 25,4.7
36 to 45,4.4
46 to 60,4.3
26 to 35,4.0
26 to 35,6.3
26 to 35,5.3
36 to 45,6.8
60+,2.9
26 to 35,1.3
19 to 25,4.8
10 to 18,8.7
10 to 18,6.6
60+,3.4
10 to 18,1.0
10 to 18,5.8
10 to 18,4.5
36 to 45,5.9
26 to 35,3.0
10 to 18,5.5
26 to 35,5.3
26 to 35,6.0
46 to 60,5.8
60+,5.3
19 to 25,4.2
60+,4.6
36 to 45,10.2
46 to 60,4.3
60+,3.4
60+,3.1
19 to 25,1.5
26 to 35,4.2
46 to 60,4.0
10 to 18,6.1
46 to 60,5.5
26 to 35,3.3
36 to 45,8.0
26 to 35,9.4
26 to 35,1.1
10 to 18,7.4
36 to 45,7.3
19 to 25,5.5
36 to 45,7.3
36 to 45,5.6
19 to 25,3.7
36 to 45,4.6
26 to 35,6.1
10 to 18,6.1
19 to 25,8.6
36 to 45,6.0
10 to 18,5.0
10 to 18,5.0
60+,7.4
46 to 60,5.3
26 to 35,2.5
60+,4.6
19 to 25,3.6
19 to 25,4.2
19 to 25,2.4
60+,5.8
46 to 60,4.4
46 to 60,4.8
10 to 18,7.9
26 to 35,6.0
36 to 45,8.1
46 to 60,2.2
19 to 25,4.0
10 to 18,8.7
36 to 45,4.9
26 to 35,5.7
10 to 18,6.5
36 to 45,9.6
60+,4.9
10 to 18,6.8
10 to 18,5.1
46 to 60,4.3
10 to 18,6.1
19 to 25,5.3
46 to 60,3.0
10 to 18,2.0
36 to 45,6.8
46 to 60,4.5
36 to 45,5.9
46 to 60,9.1
60+,4.3
19 to 25,3.2
46 to 60,7.7
10 to 18,4.9
19 to 25,1.0
60+,3.9
10 to 18,4.3
60+,4.5
26 to 35,6.7
10 to 18,2.9
46 to 60,2.3
19 to 25,4.1
26 to 35,5.4
19 to 25,4.5
60+,8.2
19 to 25,6.3
36 to 45,2.2
60+,3.4
60+,4.6
60+,6.0
19 to 25,5.7
36 to 45,1.3
36 to 45,5.6
10 to 18,7.4
46 to 60,5.0
60+,2.5
26 to 35,3.7
10 to 18,6.9
26 to 35,6.6
10 to 18,6.7
60+,8.4
10 to 18,6.5
19 to 25,2.3
26 to 35,8.2
46 to 60,5.0
36 to 45,5.7
46 to 60,9.7
26 to 35,6.0
60+,5.7
36 to 45,7.5
19 to 25,5.5
19 to 25,4.0
10 to 18,7.2
60+,3.6
26 to 35,4.7
60+,7.5
19 to 25,1.0
36 to 45,5.7
26 to 35,5.2
36 to 45,3.1
60+,1.8
26 to 35,2.3
10 to 18,4.3
36 to 45,8.7
26 to 35,5.8
19 to 25,5.4
26 to 35,7.1
26 to 35,3.2
60+,7.5
19 to 25,4.1
46 to 60,4.9
26 to 35,4.5
46 to 60,7.4
46 to 60,3.0
26 to 35,2.5
36 to 45,5.9
26 to 35,6.5
60+,2.6
26 to 35,4.8
36 to 45,7.9
36 to 45,3.7
19 to 25,4.5
26 to 35,4.4
46 to 60,2.8
36 to 45,5.1
36 to 45,6.5
46 to 60,3.2
36 to 45,3.9
36 to 45,4.4
10 to 18,4.5
46 to 60,6.4
36 to 45,2.2
10 to 18,5.0
36 to 45,6.4
19 to 25,2.3
60+,7.1
60+,9.0
46 to 60,6.8
10 to 18,3.7
36 to 45,7.0
46 to 60,3.6
19 to 25,5.9
26 to 35,4.9
19 to 25,5.6
36 to 45,3.5
10 to 18,6.1
36 to 45,8.0
10 to 18,5.8
60+,3.5
26 to 35,2.5
26 to 35,2.9
36 to 45,4.6
46 to 60,5.0
46 to 60,3.2
60+,7.8
26 to 35,4.3
36 to 45,8.1
